,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
90165,45684,Brendan Joseph Hansen,M,26.0,183.0,85.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
90302,45765,Kevin Christopher Hansen,M,26.0,196.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
90734,45967,"James Edward ""Trey"" Hardee, III",M,24.0,196.0,96.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,
91385,46332,"Jeffrey Stewart ""Jeff"" Hartwig",M,40.0,190.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,
92590,46910,"Michael Gannon ""Mike"" Hazle",M,29.0,183.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,
95334,48276,"Michael Steven ""Mike"" Hessman",M,30.0,196.0,107.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
96111,48663,George Anthony Hincapie Garcs,M,35.0,183.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",
97005,49108,"Thomas John ""Tom"" Hoff",M,35.0,198.0,94.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
97007,49109,Michael Reese Hoffa,M,30.0,182.0,147.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,
97430,49317,Stuart Alistair Holden,M,23.0,178.0,72.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
97491,49345,"Jeffrey G. ""Jeff"" Holguin",M,29.0,175.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Double Trap,
98448,49826,Beau Hoopman,M,27.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
98884,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,
98885,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,Bronze
98886,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,
98887,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,
98888,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
98889,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,
98890,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,
99349,50288,Elliot Meyer Hovey,M,25.0,185.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,
99392,50311,Dwight David Howard,M,22.0,211.0,120.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
99773,50490,Andy Hrovat,M,28.0,178.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",
100420,50788,Peter Hudnut,M,28.0,196.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
100620,50878,"Matthew ""Matt"" Hughes",M,26.0,185.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,
101447,51304,"Timothy Julien ""Tim"" Hutten",M,23.0,196.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
103105,52164,"Joshua ""Josh"" Inman",M,28.0,203.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
104896,53094,Bershawn D. Jackson,M,25.0,173.0,69.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres Hurdles,Bronze
105759,53494,LeBron Raymone James,M,23.0,203.0,114.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
107633,54409,Larsen Alan Jensen,M,22.0,185.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Freestyle,Bronze
107634,54409,Larsen Alan Jensen,M,22.0,185.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,"Swimming Men's 1,500 metres Freestyle",
108030,54619,Kevin Martin Jepsen,M,24.0,190.0,97.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
109456,55338,Brian Johnson,M,28.0,196.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,
109466,55340,"Richard Andrew ""Butch"" Johnson",M,52.0,191.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,
109467,55340,"Richard Andrew ""Butch"" Johnson",M,52.0,191.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Team,
109940,55590,"Dustin Michael ""Dusty"" Jonas",M,22.0,193.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's High Jump,
110045,55640,Cullen Andrew Jones,M,24.0,195.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
111470,56401,"Kenneth ""Ken"" Jurkowski",M,26.0,188.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Single Sculls,
115522,58521,Klete D. Keller,M,26.0,198.0,97.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
115681,58607,Weston Seth Kelsey,M,26.0,193.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",
115775,58654,Hunter Craig Kemper,M,32.0,191.0,74.0,United States,USA,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Men's Olympic Distance,
117709,59569,Jason Frederick Kidd,M,35.0,193.0,96.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
121287,61323,Sacha Bryan Kljestan,M,22.0,185.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
121622,61496,Brandon Michael Knight,M,32.0,183.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
124064,62674,"Michael Paul ""Mike"" Koplove",M,31.0,178.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
127597,64316,"Alfred George ""A. G."" Kruger",M,29.0,193.0,125.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Hammer Throw,
127699,64375,"James W. ""J. W."" Krumpholz",M,20.0,191.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
130808,65854,Bernard Kipchirchir Lagat,M,33.0,173.0,58.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",
130809,65854,Bernard Kipchirchir Lagat,M,33.0,173.0,58.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 5,000 metres",
131488,66177,"Richard Edward ""Rich"" Lambourne",M,33.0,190.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
132303,66589,Giuseppe Lanzone,M,25.0,193.0,97.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,
132375,66628,"Matthew Vincent ""Matt"" LaPorta",M,23.0,188.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
134184,67558,"Robert ""Bobby"" Lea",M,24.0,188.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Points Race,
134185,67558,"Robert ""Bobby"" Lea",M,24.0,188.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Madison,
134823,67839,David Cameron Lee,M,26.0,203.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
136211,68510,Levi Leipheimer,M,34.0,173.0,62.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",
136212,68510,Levi Leipheimer,M,34.0,173.0,62.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Individual Time Trial,Bronze
137864,69288,Jason Edward Lezak,M,32.0,193.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,Bronze
137865,69288,Jason Edward Lezak,M,32.0,193.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
137866,69288,Jason Edward Lezak,M,32.0,193.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
141427,70965,Ryan Steven Lochte,M,24.0,188.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
141428,70965,Ryan Steven Lochte,M,24.0,188.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,Gold
141429,70965,Ryan Steven Lochte,M,24.0,188.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
141430,70965,Ryan Steven Lochte,M,24.0,188.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Individual Medley,Bronze
141867,71169,Lopez (Lopepe-) Lomong,M,23.0,180.0,69.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",
142365,71428,Mark Anthony Lopez,M,26.0,183.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,Silver
142442,71467,Steven Lopez,M,29.0,191.0,83.0,United States,USA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Welterweight,Bronze
142971,71744,"John Clay Lovell, III",M,40.0,170.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,
147403,73980,"Khan ""Bob"" Malaythong",M,27.0,178.0,70.0,United States,USA,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Men's Doubles,
147810,74171,Casey Malone,M,31.0,203.0,109.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Discus Throw,
148347,74434,Spenser Thomas Mango,M,22.0,157.0,55.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",
148703,74580,Andra Kareem Manson,M,24.0,196.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's High Jump,
148850,74659,"Leonel Ernesto ""Leo"" Manzano",M,23.0,165.0,57.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",
150387,75446,"Louis Glenn ""Lou"" Marson",M,22.0,185.0,92.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
150725,75631,Rodney Martin,M,25.0,173.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,
151903,76233,Giddeon Massie,M,26.0,188.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Keirin,
151904,76233,Giddeon Massie,M,26.0,188.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Team Sprint,
153833,77217,"Joshua ""Josh"" McAdams",M,28.0,175.0,69.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",
153874,77246,Brian Robert McBride,M,36.0,183.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
153995,77315,Jason McCartney,M,34.0,183.0,70.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",
153997,77317,Michael Dax McCarty,M,21.0,173.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
154121,77382,"Jeffrey Daniel ""Dan"" McCormick",M,22.0,196.0,139.0,United States,USA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Heavyweight,
154375,77500,Marcus McElhenney,M,27.0,163.0,55.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
155027,77810,Randal Sean Mclelland,M,22.0,175.0,81.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Skeet,
155195,77907,"Stuart ""Stu"" McNay",M,27.0,171.0,65.0,United States,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Dinghy,
155903,78281,Gerek Lin Meinhardt,M,18.0,183.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Foil, Individual",
157196,78931,Rick Merlo,M,26.0,191.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
157262,78964,LaShawn Merritt,M,22.0,191.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,Gold
157263,78964,LaShawn Merritt,M,22.0,191.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
158942,79793,Derek H. Miles,M,35.0,191.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,
159100,79856,Ryan Madsen Millar,M,30.0,204.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
160918,80753,"Steven ""Steve"" Mocco",M,26.0,183.0,120.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",
161618,81135,Javier Molina,M,18.0,175.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Welterweight,
163137,81902,"Timothy Frank ""Tim"" Morehouse",M,30.0,188.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Individual",
163138,81902,"Timothy Frank ""Tim"" Morehouse",M,30.0,188.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Silver
164196,82418,Merrill Moses,M,30.0,191.0,97.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
169015,84962,Blaine Neal,M,30.0,196.0,114.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
169433,85183,Adam McCright Nelson,M,33.0,183.0,120.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,
169435,85185,"William Andrew ""Billy"" Nelson",M,23.0,165.0,55.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",
170211,85535,David Neville,M,24.0,193.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,Bronze
170212,85535,David Neville,M,24.0,193.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
170317,85574,Brett Patrick Newlin,M,26.0,206.0,102.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,
172332,86580,Jayson Truett Edward Nix,M,25.0,180.0,89.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
175450,88179,"Charles S. ""Charlie"" Ogletree",M,40.0,175.0,70.0,United States,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,
176498,88748,David Oliver,M,26.0,191.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles,Bronze
176888,88938,Brian Perry Olson,M,35.0,191.0,90.0,United States,USA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Middleweight,
178119,89513,Michael Orozco Fiscal,M,22.0,183.0,74.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
179992,90472,Travis Padgett,M,21.0,173.0,79.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,
181647,91295,"Thomas ""Tom"" Pappas",M,31.0,196.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,
181706,91328,"Thomas ""Tom"" Paradiso",M,28.0,185.0,70.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,
182348,91663,Jason Alan Parker,M,34.0,178.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Air Rifle, 10 metres",
182349,91663,Jason Alan Parker,M,34.0,178.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
182398,91692,Michael Finlay Parkhurst,M,24.0,180.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
182657,91812,Scott Parsons,M,29.0,178.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, Slalom",
183061,92000,Miguel S. Pate,M,29.0,188.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,
183283,92134,Darvis Darell Patton,M,30.0,183.0,79.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,
183284,92134,Darvis Darell Patton,M,30.0,183.0,79.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,
183334,92158,"Christopher Emmanuel ""Chris"" Paul",M,23.0,183.0,83.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
183857,92406,David Thorn Payne,M,26.0,183.0,79.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles,Silver
184577,92771,Aaron Wells Peirsol,M,25.0,191.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,Gold
184578,92771,Aaron Wells Peirsol,M,25.0,191.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,Silver
184579,92771,Aaron Wells Peirsol,M,25.0,191.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
186681,93840,Steffen Peters,M,43.0,173.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Individual",
186682,93840,Steffen Peters,M,43.0,173.0,68.0,Ravel,USA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Team",
187896,94406,"Michael Fred Phelps, II",M,23.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Freestyle,Gold
187897,94406,"Michael Fred Phelps, II",M,23.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
187898,94406,"Michael Fred Phelps, II",M,23.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
187899,94406,"Michael Fred Phelps, II",M,23.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Butterfly,Gold
187900,94406,"Michael Fred Phelps, II",M,23.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Butterfly,Gold
187901,94406,"Michael Fred Phelps, II",M,23.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,Gold
187902,94406,"Michael Fred Phelps, II",M,23.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Individual Medley,Gold
187903,94406,"Michael Fred Phelps, II",M,23.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
188127,94505,Taylor Phinney,M,18.0,196.0,81.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",
